iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 29, 2018",,,,,,,,,,
Total Net Assets,"44,298,341,708.25",,,,,,,,,,
Shares Outstanding,"236,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
STE,STERIS,Equity,0.46,93.36,"2,184,373.00","203,933,063.28","203,933,063.28",Health Care,BVVBC02,GB00BVVBC028,New York Stock Exchange Inc.
CPT,CAMDEN PROPERTY TRUST REIT TRUST,Equity,0.45,84.18,"2,385,603.00","200,820,060.54","200,820,060.54",Real Estate,2166320,US1331311027,New York Stock Exchange Inc.
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.45,199.42,"1,004,649.00","200,347,103.58","200,347,103.58",Financials,2329770,US3030751057,New York Stock Exchange Inc.
GGG,GRACO INC,Equity,0.45,45.72,"4,362,173.00","199,438,549.56","199,438,549.56",Industrials,2380443,US3841091040,New York Stock Exchange Inc.
FTNT,FORTINET INC,Equity,0.45,53.58,"3,720,066.00","199,321,136.28","199,321,136.28",Information Technology,B5B2106,US34959E1091,NASDAQ
AFG,AMERICAN FINANCIAL GROUP INC,Equity,0.45,112.22,"1,775,654.00","199,263,891.88","199,263,891.88",Financials,2134532,US0259321042,New York Stock Exchange Inc.
UGI,UGI CORP,Equity,0.44,44.42,"4,454,116.00","197,851,832.72","197,851,832.72",Utilities,2910118,US9026811052,New York Stock Exchange Inc.
LII,LENNOX INTERNATIONAL INC,Equity,0.44,204.37,"967,887.00","197,807,066.19","197,807,066.19",Industrials,2442053,US5261071071,New York Stock Exchange Inc.
OA,ORBITAL ATK INC,Equity,0.44,132.61,"1,487,948.00","197,316,784.28","197,316,784.28",Industrials,BVGC686,US68557N1037,New York Stock Exchange Inc.
SBNY,SIGNATURE BANK,Equity,0.44,141.95,"1,382,023.00","196,178,164.85","196,178,164.85",Financials,B00JQL9,US82669G1040,NASDAQ
MAN,MANPOWER INC,Equity,0.44,115.1,"1,703,289.00","196,048,563.90","196,048,563.90",Industrials,2562490,US56418H1005,New York Stock Exchange Inc.
MSCC,MICROSEMI CORP,Equity,0.44,64.72,"3,027,343.00","195,929,638.96","195,929,638.96",Information Technology,2588140,US5951371005,NASDAQ
WR,WESTAR ENERGY INC,Equity,0.43,52.59,"3,661,700.00","192,568,803.00","192,568,803.00",Utilities,2484000,US95709T1007,New York Stock Exchange Inc.
TYL,TYLER TECHNOLOGIES INC,Equity,0.43,210.96,"908,028.00","191,557,586.88","191,557,586.88",Information Technology,2909644,US9022521051,New York Stock Exchange Inc.
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,0.43,139.19,"1,370,893.00","190,814,596.67","190,814,596.67",Information Technology,2989356,US9892071054,NASDAQ
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.41,243.7,"747,727.00","182,221,069.90","182,221,069.90",Information Technology,2249964,US90385D1072,NASDAQ
KRC,KILROY REALTY REIT CORP,Equity,0.4,70.96,"2,541,471.00","180,342,782.16","180,342,782.16",Real Estate,2495529,US49427F1084,New York Stock Exchange Inc.
SCI,SERVICE,Equity,0.4,37.74,"4,762,927.00","179,752,864.98","179,752,864.98",Consumer Discretionary,2797560,US8175651046,New York Stock Exchange Inc.
WRB,WR BERKLEY CORP,Equity,0.4,72.7,"2,471,921.00","179,708,656.70","179,708,656.70",Financials,2093644,US0844231029,New York Stock Exchange Inc.
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Equity,0.4,81.4,"2,201,665.00","179,215,531.00","179,215,531.00",Industrials,2955733,US9297401088,New York Stock Exchange Inc.
NDSN,NORDSON CORP,Equity,0.4,136.34,"1,313,391.00","179,067,728.94","179,067,728.94",Industrials,2641838,US6556631025,NASDAQ
GXP,GREAT PLAINS ENERGY INC,Equity,0.4,31.79,"5,571,209.00","177,108,734.11","177,108,734.11",Utilities,2483706,US3911641005,New York Stock Exchange Inc.
ARW,ARROW ELECTRONICS INC,Equity,0.39,77.02,"2,258,028.00","173,913,316.56","173,913,316.56",Information Technology,2051404,US0427351004,New York Stock Exchange Inc.
PII,POLARIS INDUSTRIES INC,Equity,0.39,114.52,"1,514,411.00","173,430,347.72","173,430,347.72",Consumer Discretionary,2692933,US7310681025,New York Stock Exchange Inc.
TTC,TORO,Equity,0.39,62.45,"2,769,207.00","172,936,977.15","172,936,977.15",Industrials,2897040,US8910921084,New York Stock Exchange Inc.
TDY,TELEDYNE TECHNOLOGIES INC,Equity,0.39,187.17,"921,156.00","172,412,768.52","172,412,768.52",Industrials,2503477,US8793601050,New York Stock Exchange Inc.
HUBB,HUBBELL INC,Equity,0.39,121.78,"1,413,176.00","172,096,573.28","172,096,573.28",Industrials,BDFG6S3,US4435106079,New York Stock Exchange Inc.
EV,EATON VANCE COM NON VOTING CORP,Equity,0.39,55.67,"3,091,144.00","172,083,986.48","172,083,986.48",Financials,2301057,US2782651036,New York Stock Exchange Inc.
OGE,OGE ENERGY CORP,Equity,0.38,32.77,"5,159,108.00","169,063,969.16","169,063,969.16",Utilities,2657802,US6708371033,New York Stock Exchange Inc.
WST,WEST PHARMACEUTICAL SERVICES INC,Equity,0.38,88.29,"1,911,324.00","168,750,795.96","168,750,795.96",Health Care,2950482,US9553061055,New York Stock Exchange Inc.
