iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"43,823,412,443.88"
Shares Outstanding,"235,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LII","LENNOX INTERNATIONAL INC","Equity","0.44","204.63","942,964.00","192,958,723.32","192,958,723.32","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"MSCC","MICROSEMI CORP","Equity","0.44","64.90","2,944,269.00","191,083,058.10","191,083,058.10","Information Technology","2588140","US5951371005","NASDAQ"
"OA","ORBITAL ATK INC","Equity","0.44","132.06","1,446,830.00","191,068,369.80","191,068,369.80","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.44","202.40","942,699.00","190,802,277.60","190,802,277.60","Financials","B03Q9D0","US57060D1081","NASDAQ"
"HFC","HOLLYFRONTIER CORP","Equity","0.43","42.83","4,446,373.00","190,438,155.59","190,438,155.59","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"X","US STEEL CORP CORP","Equity","0.43","43.51","4,373,061.00","190,271,884.11","190,271,884.11","Materials","2824770","US9129091081","New York Stock Exchange Inc."
"FTNT","FORTINET INC","Equity","0.43","50.47","3,744,471.00","188,983,451.37","188,983,451.37","Information Technology","B5B2106","US34959E1091","NASDAQ"
"GGG","GRACO INC","Equity","0.43","44.35","4,223,440.00","187,309,564.00","187,309,564.00","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.43","43.09","4,335,308.00","186,808,421.72","186,808,421.72","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.42","79.71","2,324,135.00","185,256,800.85","185,256,800.85","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.42","138.14","1,334,037.00","184,283,871.18","184,283,871.18","Information Technology","2989356","US9892071054","NASDAQ"
"JLL","JONES LANG LASALLE INC","Equity","0.42","160.61","1,137,849.00","182,749,927.89","182,749,927.89","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"ARW","ARROW ELECTRONICS INC","Equity","0.41","81.58","2,206,453.00","180,002,435.74","180,002,435.74","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.41","131.05","1,371,983.00","179,798,372.15","179,798,372.15","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.41","203.11","874,770.00","177,674,534.70","177,674,534.70","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"SCI","SERVICE","Equity","0.40","37.43","4,701,965.00","175,994,549.95","175,994,549.95","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.40","81.34","2,142,918.00","174,304,950.12","174,304,950.12","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"WR","WESTAR ENERGY INC","Equity","0.40","48.73","3,562,649.00","173,607,885.77","173,607,885.77","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.39","63.57","2,698,249.00","171,527,688.93","171,527,688.93","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.39","134.07","1,273,335.00","170,716,023.45","170,716,023.45","Industrials","2641838","US6556631025","NASDAQ"
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.39","238.46","711,855.00","169,748,943.30","169,748,943.30","Information Technology","2249964","US90385D1072","NASDAQ"
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.39","21.05","8,042,203.00","169,288,373.15","169,288,373.15","Industrials","2852760","US4771431016","NASDAQ"
"PACW","PACWEST BANCORP","Equity","0.38","52.14","3,233,886.00","168,614,816.04","168,614,816.04","Financials","2619772","US6952631033","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.38","68.10","2,467,544.00","168,039,746.40","168,039,746.40","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP INC","Equity","0.38","13.62","12,266,066.00","167,063,818.92","167,063,818.92","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.38","49.77","3,349,245.00","166,691,923.65","166,691,923.65","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"PII","POLARIS INDUSTRIES INC","Equity","0.38","113.99","1,458,834.00","166,292,487.66","166,292,487.66","Consumer Discretionary","2692933","US7310681025","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.38","185.95","887,233.00","164,980,976.35","164,980,976.35","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.38","68.38","2,409,070.00","164,732,206.60","164,732,206.60","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.38","90.17","1,825,613.00","164,615,524.21","164,615,524.21","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.37","87.22","1,862,341.00","162,433,382.02","162,433,382.02","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"TOL","TOLL BROTHERS INC","Equity","0.37","43.83","3,691,390.00","161,793,623.70","161,793,623.70","Consumer Discretionary","2896092","US8894781033","New York Stock Exchange Inc."
"GNTX","GENTEX CORP","Equity","0.37","22.71","7,120,642.00","161,709,779.82","161,709,779.82","Consumer Discretionary","2366799","US3719011096","NASDAQ"
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.37","58.03","2,771,824.00","160,848,946.72","160,848,946.72","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.37","102.91","1,554,832.00","160,007,761.12","160,007,761.12","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"JHG","JANUS HENDERSON GROUP PLC","Equity","0.36","35.34","4,523,984.00","159,877,594.56","159,877,594.56","Financials","BYPZJQ6","JE00BYPZJM29","New York Stock Exchange Inc."
"THO","THOR INDUSTRIES INC","Equity","0.36","129.00","1,229,119.00","158,556,351.00","158,556,351.00","Consumer Discretionary","2889876","US8851601018","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.36","29.15","5,408,930.00","157,670,309.50","157,670,309.50","Utilities","2483706","US3911641005","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.36","31.34","5,008,807.00","156,976,011.38","156,976,011.38","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.36","52.93","2,956,387.00","156,481,563.91","156,481,563.91","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"FHN","FIRST HORIZON NATIONAL CORP","Equity","0.35","19.05","8,126,903.00","154,817,502.15","154,817,502.15","Financials","2341484","US3205171057","New York Stock Exchange Inc."
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Equity","0.35","48.16","3,207,622.00","154,479,075.52","154,479,075.52","Industrials","BF0LKD0","US4990491049","New York Stock Exchange Inc."
"DCI","DONALDSON INC","Equity","0.35","47.46","3,252,507.00","154,363,982.22","154,363,982.22","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"BRO","BROWN & BROWN INC","Equity","0.35","52.64","2,902,024.00","152,762,543.36","152,762,543.36","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"LOGM","LOGMEIN INC","Equity","0.35","115.55","1,321,345.00","152,681,414.75","152,681,414.75","Information Technology","B600J15","US54142L1098","NASDAQ"
"WTR","AQUA AMERICA INC","Equity","0.35","34.19","4,456,699.00","152,374,538.81","152,374,538.81","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"OZRK","BANK OF OZARKS","Equity","0.35","49.89","3,040,363.00","151,683,710.07","151,683,710.07","Financials","2085856","US0639041062","NASDAQ"
"MKSI","MKS INSTRUMENTS INC","Equity","0.35","111.35","1,359,413.00","151,370,637.55","151,370,637.55","Information Technology","2404871","US55306N1046","NASDAQ"
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.34","44.80","3,354,761.00","150,293,292.80","150,293,292.80","Consumer Discretionary","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.34","103.99","1,439,139.00","149,656,064.61","149,656,064.61","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"WEX","WEX INC","Equity","0.34","149.55","999,158.00","149,424,078.90","149,424,078.90","Information Technology","B8383P2","US96208T1043","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","0.34","134.98","1,106,807.00","149,396,808.86","149,396,808.86","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"OSK","OSHKOSH CORP","Equity","0.34","78.93","1,882,073.00","148,552,021.89","148,552,021.89","Industrials","2663520","US6882392011","New York Stock Exchange Inc."
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.34","49.30","2,993,668.00","147,587,832.40","147,587,832.40","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.33","17.47","8,354,158.00","145,947,140.26","145,947,140.26","Information Technology","2244549","US2328061096","NASDAQ"
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.33","39.26","3,697,424.00","145,160,866.24","145,160,866.24","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.33","35.75","3,993,209.00","142,757,221.75","142,757,221.75","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.32","37.24","3,807,040.00","141,774,169.60","141,774,169.60","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"WPX","WPX ENERGY INC","Equity","0.32","14.13","9,978,679.00","140,998,734.27","140,998,734.27","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"ACM","AECOM","Equity","0.32","35.51","3,946,524.00","140,141,067.24","140,141,067.24","Industrials","B1VZ431","US00766T1007","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.32","66.47","2,103,460.00","139,816,986.20","139,816,986.20","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"ATR","APTARGROUP INC","Equity","0.32","89.42","1,562,418.00","139,711,417.56","139,711,417.56","Materials","2045247","US0383361039","New York Stock Exchange Inc."
"CTLT","CATALENT INC","Equity","0.32","41.75","3,326,493.00","138,881,082.75","138,881,082.75","Health Care","BP96PQ4","US1488061029","New York Stock Exchange Inc."
"POOL","POOL CORP","Equity","0.32","138.03","1,005,686.00","138,814,838.58","138,814,838.58","Consumer Discretionary","2781585","US73278L1052","NASDAQ"
"CRI","CARTERS INC","Equity","0.32","116.68","1,184,851.00","138,248,414.68","138,248,414.68","Consumer Discretionary","2980939","US1462291097","New York Stock Exchange Inc."
"HRC","HILL ROM HOLDINGS INC","Equity","0.32","83.66","1,650,886.00","138,113,122.76","138,113,122.76","Health Care","2425924","US4314751029","New York Stock Exchange Inc."
"SKX","SKECHERS USA INC CLASS A","Equity","0.31","40.92","3,359,487.00","137,470,208.04","137,470,208.04","Consumer Discretionary","2428042","US8305661055","New York Stock Exchange Inc."
