iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"45,884,437,552.59"
Shares Outstanding,"235,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"UGI","UGI CORP","Equity","0.43","45.77","4,329,168.00","198,146,019.36","198,146,019.36","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.43","46.80","4,206,389.00","196,859,005.20","196,859,005.20","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.43","200.69","976,964.00","196,066,905.16","196,066,905.16","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.43","113.34","1,716,830.00","194,585,512.20","194,585,512.20","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.42","90.92","2,124,600.00","193,168,632.00","193,168,632.00","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","0.42","131.90","1,440,993.00","190,066,976.70","190,066,976.70","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"SCI","SERVICE","Equity","0.41","39.97","4,682,995.00","187,179,310.15","187,179,310.15","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.41","100.20","1,854,832.00","185,854,166.40","185,854,166.40","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.41","135.95","1,366,450.00","185,768,877.50","185,768,877.50","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.40","196.21","938,895.00","184,220,587.95","184,220,587.95","Financials","B03Q9D0","US57060D1081","NASDAQ"
"WR","WESTAR ENERGY INC","Equity","0.40","51.66","3,548,277.00","183,303,989.82","183,303,989.82","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.40","143.72","1,268,201.00","182,265,847.72","182,265,847.72","Industrials","2641838","US6556631025","NASDAQ"
"MSCC","MICROSEMI CORP","Equity","0.40","61.79","2,943,396.00","181,872,438.84","181,872,438.84","Information Technology","2588140","US5951371005","NASDAQ"
"ARW","ARROW ELECTRONICS INC","Equity","0.39","81.34","2,197,557.00","178,749,286.38","178,749,286.38","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"JHG","JANUS HENDERSON GROUP PLC","Equity","0.39","39.38","4,505,717.00","177,435,135.46","177,435,135.46","Financials","BYPZJQ6","JE00BYPZJM29","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.39","156.35","1,133,251.00","177,183,793.85","177,183,793.85","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.39","65.65","2,695,665.00","176,970,407.25","176,970,407.25","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"CSL","CARLISLE COMPANIES INC","Equity","0.39","114.21","1,548,558.00","176,860,809.18","176,860,809.18","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.39","201.51","874,531.00","176,226,741.81","176,226,741.81","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.38","72.98","2,407,907.00","175,729,052.86","175,729,052.86","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.38","71.32","2,457,584.00","175,274,890.88","175,274,890.88","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.38","52.20","3,335,728.00","174,125,001.60","174,125,001.60","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"NYCB","NEW YORK COMMUNITY BANCORP DS REP","Equity","0.38","14.16","12,216,566.00","172,986,574.56","172,986,574.56","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.38","81.04","2,134,269.00","172,961,159.76","172,961,159.76","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"FTNT","FORTINET INC","Equity","0.38","46.04","3,742,948.00","172,325,325.92","172,325,325.92","Information Technology","B5B2106","US34959E1091","NASDAQ"
"TOL","TOLL BROTHERS INC","Equity","0.37","46.58","3,676,490.00","171,250,904.20","171,250,904.20","Consumer Discretionary","2896092","US8894781033","New York Stock Exchange Inc."
"EV","EATON VANCE COM NON VOTING CORP","Equity","0.37","57.80","2,954,897.00","170,793,046.60","170,793,046.60","Financials","2301057","US2782651036","New York Stock Exchange Inc."
"OSK","OSHKOSH CORP","Equity","0.37","90.72","1,881,031.00","170,647,132.32","170,647,132.32","Industrials","2663520","US6882392011","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.37","190.92","886,905.00","169,327,902.60","169,327,902.60","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"PACW","PACWEST BANCORP","Equity","0.37","52.43","3,220,829.00","168,868,064.47","168,868,064.47","Financials","2619772","US6952631033","NASDAQ"
"GNTX","GENTEX CORP","Equity","0.37","23.68","7,091,902.00","167,936,239.36","167,936,239.36","Consumer Discretionary","2366799","US3719011096","NASDAQ"
"GXP","GREAT PLAINS ENERGY INC","Equity","0.37","31.12","5,387,106.00","167,646,738.72","167,646,738.72","Utilities","2483706","US3911641005","New York Stock Exchange Inc."
"THO","THOR INDUSTRIES INC","Equity","0.37","136.66","1,224,156.00","167,293,158.96","167,293,158.96","Consumer Discretionary","2889876","US8851601018","New York Stock Exchange Inc."
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.37","20.86","8,009,754.00","167,083,468.44","167,083,468.44","Industrials","2852760","US4771431016","NASDAQ"
"LOGM","LOGMEIN INC","Equity","0.36","125.80","1,316,006.00","165,553,554.80","165,553,554.80","Information Technology","B600J15","US54142L1098","NASDAQ"
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.36","232.89","708,986.00","165,115,749.54","165,115,749.54","Information Technology","2249964","US90385D1072","NASDAQ"
"DCI","DONALDSON INC","Equity","0.36","50.66","3,251,517.00","164,721,851.22","164,721,851.22","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"PII","POLARIS INDUSTRIES INC","Equity","0.36","113.01","1,452,944.00","164,197,201.44","164,197,201.44","Consumer Discretionary","2692933","US7310681025","New York Stock Exchange Inc."
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.36","123.16","1,328,656.00","163,637,272.96","163,637,272.96","Information Technology","2989356","US9892071054","NASDAQ"
"X","US STEEL CORP CORP","Equity","0.36","37.41","4,370,300.00","163,492,923.00","163,492,923.00","Materials","2824770","US9129091081","New York Stock Exchange Inc."
"FAF","FIRST AMERICAN FINANCIAL CORP","Equity","0.36","59.07","2,765,819.00","163,376,928.33","163,376,928.33","Financials","B4NFPK4","US31847R1023","New York Stock Exchange Inc."
"FHN","FIRST HORIZON NATIONAL CORP","Equity","0.35","19.86","8,117,353.00","161,210,630.58","161,210,630.58","Financials","2341484","US3205171057","New York Stock Exchange Inc."
"WTR","AQUA AMERICA INC","Equity","0.35","36.21","4,438,717.00","160,725,942.57","160,725,942.57","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.35","32.20","4,988,598.00","160,632,855.60","160,632,855.60","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.35","87.59","1,824,325.00","159,792,626.75","159,792,626.75","Materials","2729068","US7595091023","New York Stock Exchange Inc."
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Equity","0.35","49.79","3,207,645.00","159,708,644.55","159,708,644.55","Industrials","BF0LKD0","US4990491049","New York Stock Exchange Inc."
"COHR","COHERENT INC","Equity","0.35","259.52","615,280.00","159,677,465.60","159,677,465.60","Information Technology","2208374","US1924791031","NASDAQ"
"OLN","OLIN CORP","Equity","0.34","37.28","4,160,842.00","155,116,189.76","155,116,189.76","Materials","2658526","US6806652052","New York Stock Exchange Inc."
"CTLT","CATALENT INC","Equity","0.34","46.54","3,326,680.00","154,823,687.20","154,823,687.20","Health Care","BP96PQ4","US1488061029","New York Stock Exchange Inc."
"WEX","WEX INC","Equity","0.34","154.81","998,765.00","154,618,809.65","154,618,809.65","Information Technology","B8383P2","US96208T1043","New York Stock Exchange Inc."
"ACM","AECOM","Equity","0.34","39.11","3,946,038.00","154,329,546.18","154,329,546.18","Industrials","B1VZ431","US00766T1007","New York Stock Exchange Inc."
"DEI","DOUGLAS EMMETT REIT INC","Equity","0.34","38.67","3,977,089.00","153,794,031.63","153,794,031.63","Real Estate","B1G3M58","US25960P1093","New York Stock Exchange Inc."
"CFR","CULLEN FROST BANKERS INC","Equity","0.33","106.41","1,439,400.00","153,166,554.00","153,166,554.00","Financials","2239556","US2298991090","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.33","41.41","3,682,501.00","152,492,366.41","152,492,366.41","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"OZRK","BANK OF OZARKS","Equity","0.33","49.95","3,039,394.00","151,817,730.30","151,817,730.30","Financials","2085856","US0639041062","NASDAQ"
"BRO","BROWN & BROWN INC","Equity","0.33","52.48","2,890,316.00","151,683,783.68","151,683,783.68","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.33","72.00","2,103,002.00","151,416,144.00","151,416,144.00","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.33","45.06","3,354,011.00","151,131,735.66","151,131,735.66","Consumer Discretionary","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.33","39.68","3,805,442.00","150,999,938.56","150,999,938.56","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"SNV","SYNOVUS FINANCIAL CORP","Equity","0.33","50.39","2,993,660.00","150,850,527.40","150,850,527.40","Financials","BMH4NJ8","US87161C5013","New York Stock Exchange Inc."
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.33","97.57","1,544,027.00","150,650,714.39","150,650,714.39","Industrials","2516851","US5339001068","NASDAQ"
"WPX","WPX ENERGY INC","Equity","0.32","14.73","9,938,402.00","146,392,661.46","146,392,661.46","Energy","B40PCD9","US98212B1035","New York Stock Exchange Inc."
"DNKN","DUNKIN BRANDS GROUP INC","Equity","0.32","64.65","2,256,268.00","145,867,726.20","145,867,726.20","Consumer Discretionary","B3LHT03","US2655041000","NASDAQ"
"RGLD","ROYAL GOLD INC","Equity","0.32","89.00","1,635,049.00","145,519,361.00","145,519,361.00","Materials","2755706","US7802871084","NASDAQ"
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.32","17.29","8,356,257.00","144,479,683.53","144,479,683.53","Information Technology","2244549","US2328061096","NASDAQ"
"CW","CURTISS WRIGHT CORP","Equity","0.31","130.66","1,102,342.00","144,032,005.72","144,032,005.72","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"CRI","CARTERS INC","Equity","0.31","120.30","1,184,986.00","142,553,815.80","142,553,815.80","Consumer Discretionary","2980939","US1462291097","New York Stock Exchange Inc."
"HRC","HILL ROM HOLDINGS INC","Equity","0.31","85.33","1,644,217.00","140,301,036.61","140,301,036.61","Health Care","2425924","US4314751029","New York Stock Exchange Inc."
"UTHR","UNITED THERAPEUTICS CORP","Equity","0.30","129.00","1,079,408.00","139,243,632.00","139,243,632.00","Health Care","2430412","US91307C1027","NASDAQ"
"MKSI","MKS INSTRUMENTS INC","Equity","0.30","102.30","1,359,088.00","139,034,702.40","139,034,702.40","Information Technology","2404871","US55306N1046","NASDAQ"
"STL","STERLING BAN","Equity","0.30","24.75","5,613,215.00","138,927,071.25","138,927,071.25","Financials","BFNXVB8","US85917A1007","New York Stock Exchange Inc."
"DCT","DCT INDUSTRIAL TRUST REIT INC TRUS","Equity","0.30","59.19","2,330,304.00","137,930,693.76","137,930,693.76","Real Estate","BRWPYN2","US2331532042","New York Stock Exchange Inc."
"BC","BRUNSWICK CORP","Equity","0.30","62.78","2,196,733.00","137,910,897.74","137,910,897.74","Consumer Discretionary","2149309","US1170431092","New York Stock Exchange Inc."
"SKX","SKECHERS USA INC CLASS A","Equity","0.30","41.19","3,345,932.00","137,818,939.08","137,818,939.08","Consumer Discretionary","2428042","US8305661055","New York Stock Exchange Inc."
"CBSH","COMMERCE BANCSHARES INC","Equity","0.30","58.51","2,350,988.00","137,556,307.88","137,556,307.88","Financials","2213204","US2005251036","NASDAQ"
"WSO","WATSCO INC","Equity","0.30","179.79","764,221.00","137,399,293.59","137,399,293.59","Industrials","2943039","US9426222009","New York Stock Exchange Inc."
"FSLR","FIRST SOLAR INC","Equity","0.30","67.17","2,034,818.00","136,678,725.06","136,678,725.06","Information Technology","B1HMF22","US3364331070","NASDAQ"
"EXP","EAGLE MATERIALS INC","Equity","0.30","112.05","1,217,939.00","136,470,064.95","136,470,064.95","Materials","2191399","US26969P1084","New York Stock Exchange Inc."
